_id,city,lat,lng,country,iso2,admin,capital,population,population_proper
ObjectId("5e4d6134af7600474e6bb209"),Vršac,45.117501,21.298315,Serbia,RS,Vršac,admin,,
ObjectId("5e4d6134af7600474e6bb20a"),Ivanjica,43.582043,20.228379,Serbia,RS,Ivanjica,admin,,
ObjectId("5e4d6134af7600474e6bb20b"),Osečina,44.372836,19.600976,Serbia,RS,Osečina,admin,,
ObjectId("5e4d6134af7600474e6bb20c"),Vladimirci,44.615776,19.784303,Serbia,RS,Vladimirci,admin,,
ObjectId("5e4d6134af7600474e6bb20d"),Rača,44.22685,20.978954,Serbia,RS,Rača,admin,,
ObjectId("5e4d6134af7600474e6bb20e"),Svilajnac,44.238271,21.196994,Serbia,RS,Svilajnac,admin,,
ObjectId("5e4d6134af7600474e6bb20f"),Ada,45.802655,20.128509,Serbia,RS,Ada,admin,,
ObjectId("5e4d6134af7600474e6bb210"),Kula,45.610866,19.527391,Serbia,RS,Kula,admin,,
ObjectId("5e4d6134af7600474e6bb211"),Trgovište,42.3514,22.092091,Serbia,RS,Trgovište,admin,,
ObjectId("5e4d6134af7600474e6bb212"),Žitorađa,43.190209,21.713413,Serbia,RS,Žitorađa,admin,,
ObjectId("5e4d6134af7600474e6bb213"),Bujanovac,42.460618,21.766552,Serbia,RS,Bujanovac,admin,,
ObjectId("5e4d6134af7600474e6bb214"),Alibunar,45.078874,20.968205,Serbia,RS,Alibunar,admin,,
ObjectId("5e4d6134af7600474e6bb215"),Kanjiža,46.063472,20.050403,Serbia,RS,Kanjiža,admin,,
ObjectId("5e4d6134af7600474e6bb216"),Obrenovac,44.653889,20.2,Serbia,RS,Beograd,minor,,
ObjectId("5e4d6134af7600474e6bb217"),Novi Pazar,43.137514,20.514905,Serbia,RS,Novi Pazar,admin,,
ObjectId("5e4d6134af7600474e6bb218"),Kuršumlija,43.139047,21.273508,Serbia,RS,Kuršumlija,admin,,
ObjectId("5e4d6134af7600474e6bb219"),Kostolac,44.713559,21.169287,Serbia,RS,Požarevac,minor,,
ObjectId("5e4d6134af7600474e6bb21a"),Žabalj,45.374078,20.0707,Serbia,RS,Žabalj,admin,,
ObjectId("5e4d6134af7600474e6bb21b"),Bečej,45.619602,20.039983,Serbia,RS,Bečej,admin,,
ObjectId("5e4d6134af7600474e6bb21c"),Sremski Karlovci,45.202095,19.932455,Serbia,RS,Sremski Karlovci,admin,,
ObjectId("5e4d6134af7600474e6bb21d"),Sremska Mitrovica,44.976389,19.612222,Serbia,RS,Sremska Mitrovica,admin,,
ObjectId("5e4d6134af7600474e6bb21e"),Negotin,44.226389,22.530833,Serbia,RS,Negotin,admin,,
ObjectId("5e4d6134af7600474e6bb21f"),Prijepolje,43.390327,19.65061,Serbia,RS,Prijepolje,admin,,
ObjectId("5e4d6134af7600474e6bb220"),Batočina,44.154749,21.07991,Serbia,RS,Batočina,admin,,
ObjectId("5e4d6134af7600474e6bb221"),Velika Plana,44.332338,21.075132,Serbia,RS,Velika Plana,admin,,
ObjectId("5e4d6134af7600474e6bb222"),Mladenovac,44.44184,20.697007,Serbia,RS,Beograd,minor,,
ObjectId("5e4d6134af7600474e6bb223"),Crna Trava,42.807114,22.324661,Serbia,RS,Crna Trava,admin,,
ObjectId("5e4d6134af7600474e6bb224"),Mionica,44.252423,20.081707,Serbia,RS,Mionica,admin,,
ObjectId("5e4d6134af7600474e6bb225"),Sjenica,43.273545,20.000368,Serbia,RS,Sjenica,admin,,
ObjectId("5e4d6134af7600474e6bb226"),Kovin,44.748222,20.976599,Serbia,RS,Kovin,admin,,
ObjectId("5e4d6134af7600474e6bb227"),Ruma,45.007858,19.817096,Serbia,RS,Ruma,admin,,
ObjectId("5e4d6134af7600474e6bb228"),Šid,45.127597,19.226675,Serbia,RS,Šid,admin,,
ObjectId("5e4d6134af7600474e6bb229"),Nova Varoš,43.460026,19.811677,Serbia,RS,Nova Varoš,admin,,
ObjectId("5e4d6134af7600474e6bb22a"),Bor,44.081885,22.096673,Serbia,RS,Bor,admin,,
ObjectId("5e4d6134af7600474e6bb22b"),,,,,,,,,
